small_area,total_value_mGBP
E01001128,1.281832827
E01001129,12.0449004
E01001130,1.029337343
E01001131,3.021252714
E01001132,7.687159629
E01001133,6.016078022
E01001134,3.417979271
E01001135,7.22998443
E01001136,1.296351696
E01001137,2.837217039
E01001138,2.103706144
E01001139,2.171217223
E01001140,2.134849064
E01001141,0.976101174
E01001142,3.284517407
E01001143,1.585469851
E01001144,0.230794293
E01001145,0.815806264
E01001146,2.500739312
E01001147,1.748246686
E01001148,1.682360631
E01001149,2.189484842
E01001150,2.798505105
E01001151,1.913482167
E01001152,1.694301946
E01001153,2.487652166
E01001154,2.355212075
E01001155,0.827417945
E01001156,3.180705043
E01001157,4.851399128
E01001158,1.864161648
E01001159,5.122196551
E01001160,6.604330724
E01001161,1.570815123
E01001162,2.379507563
E01001163,3.617208301
E01001164,1.999580437
E01001165,1.862019687
E01001166,1.189767197
E01001167,2.976437819
E01001168,2.39318755
E01001169,1.543528558
E01001170,1.673276577
E01001171,2.056195973
E01001172,1.887507584
E01001173,3.105923383
E01001174,2.395386513
E01001175,1.537708191
E01001176,1.711168204
E01001177,2.061732318
E01001178,0.568259538
E01001179,2.076812026
E01001180,2.165365335
E01001181,1.019743153
E01001182,2.611488735
E01001183,1.406024012
E01001184,2.13895242
E01001185,1.998089672
E01001186,1.441443685
E01001187,2.818070337
E01001188,1.932719706
E01001189,1.635774952
E01001190,1.624233497
E01001191,0.522295594
E01001192,1.210272602
E01001193,1.233948252
E01001194,1.880756912
E01001195,2.329578352
E01001196,1.139529482
E01001197,2.304595832
E01001198,2.441000737
E01001199,-0.016626952
E01001200,3.533357776
E01001201,1.947068989
E01001202,0.318523708
E01001203,0.270509526
E01001204,6.659558633
E01001205,1.558585749
E01001206,1.356996785
E01001207,3.419806959
E01001208,9.501755328
E01001209,10.77218076
E01001210,1.247583831
E01001211,11.50193968
E01001212,5.109452764
E01001213,2.370822275
E01001214,4.801501279
E01001215,2.10396541
E01001216,2.715347721
E01001217,4.768349121
E01001218,2.063566215
E01001219,1.199634777
E01001220,1.133823121
E01001223,3.349576583
E01001224,12.66047475
E01001225,0.825737828
E01001226,1.869981074
E01001227,11.40319286
E01001228,2.870882808
E01001229,3.614369955
E01001230,8.543241618
E01001231,5.622849204
E01001232,4.762271807
E01001233,5.08495648
E01001234,0.230152149
E01001235,2.815975265
E01001236,0.557378179
E01001237,6.282021847
E01001239,0.873039422
